crop_id,name,category,max_slope_deg,min_soil_depth_cm,water_need,sunlight_need,altitude_min_m,altitude_max_m,input_cost_per_mu,expected_yield_kg_per_mu,labor_days_per_mu,ecological_score,tourism_score,market_preference,risk_level,cycle_years,reason_tags
C001,冰草,生态修复,35,18,25,65,350,850,620,450,5,92,38,55,低,1,耐旱固土;适合坡地;养护简单
C002,披碱草,生态修复,38,16,22,60,400,900,580,420,4,95,32,52,低,1,根系发达;抑制水土流失;适合薄土
C003,黄精,中药材,18,35,55,45,400,750,4200,320,18,65,72,86,中,3,林下经济;药食同源;研学价值
C004,苍术,中药材,25,30,45,60,450,850,3000,280,14,68,60,82,中,2,耐旱药材;市场需求稳定;适合山地
C005,柴胡,中药材,30,25,35,70,450,900,2200,220,12,72,55,78,中,2,坡地药材;管理强度适中;根系护坡
C006,赤松茸,食用菌,12,28,70,35,350,700,5200,900,22,58,76,88,高,1,林下菌菇;采摘体验;收益弹性高
C007,木耳,食用菌,15,25,75,35,350,720,4800,650,20,54,70,84,高,1,设施化栽培;可做体验课程;需水较高
C008,榛子,坚果油料,22,40,45,70,400,800,3600,180,10,78,68,80,中,5,生态经济林;长期收益;采摘属性
C009,文冠果,坚果油料,32,28,30,75,400,900,2800,160,8,86,66,74,中,5,耐旱木本油料;固碳护坡;景观花期
C010,黄花菜,农旅体验,18,30,50,75,350,750,2600,520,16,70,90,82,中,2,花期观赏;采摘加工;适合研学
C011,观赏谷子,农旅体验,16,24,38,80,350,700,1800,380,11,62,88,70,低,1,色彩景观;节庆打卡;管理周期短
C012,药草花境,农旅体验,20,25,42,70,350,760,2400,260,15,76,94,68,低,1,香草体验;低影响景观;可连接民宿
